ID,TypeQuestion,Titre,Options,Logique,Description,Paramètres (JSON)
RS01-Q01,QCU_CAT,"Lorsque vous subissez un échec important, vous :",Passez rapidement à autre chose; Analysez longuement ce qui s'est passé,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Passez rapidement à autre chose"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" Analysez longuement ce qui s""est passé"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q02,QCU_CAT,"Face à une critique, vous :",L'acceptez comme un feedback utile; La ressentez comme une remise en question personnelle,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""L""acceptez comme un feedback utile"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" La ressentez comme une remise en question personnelle"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q03,QCU_CAT,"Quand un projet est bloqué, vous :",Cherchez immédiatement des alternatives; Attendez de meilleures conditions,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Cherchez immédiatement des alternatives"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" Attendez de meilleures conditions"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q04,QCU_CAT,Votre réaction face à un imprévu :,Adaptez rapidement vos plans; Maintenez votre plan initial,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Adaptez rapidement vos plans"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" Maintenez votre plan initial"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q05,QCU_CAT,"Après une période difficile, vous :",Trouvez de nouvelles opportunités; Cherchez à restaurer la stabilité,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Trouvez de nouvelles opportunités"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" Cherchez à restaurer la stabilité"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q06,QCU_CAT,Face à un changement imposé :,Vous l'acceptez et cherchez à en tirer parti; Vous cherchez à le minimiser,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Vous l""acceptez et cherchez à en tirer parti"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" Vous cherchez à le minimiser"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q07,QCU_CAT,"Si vous perdez des ressources importantes, vous :",Trouvez d'autres moyens créatifs; Réduisez vos ambitions,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Trouvez d""autres moyens créatifs"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" Réduisez vos ambitions"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q08,QCU_CAT,"Quand une équipe est en crise, vous :",Encouragez l'action immédiate; Proposez de temporiser,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Encouragez l""action immédiate"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" Proposez de temporiser"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q09,QCU_CAT,"Après un revers, vous :",Réorientez vos efforts; Reprenez vos méthodes habituelles,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Réorientez vos efforts"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" Reprenez vos méthodes habituelles"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q10,QCU_CAT,"Lors d'une restructuration, vous :",Vous repositionnez vite; Attendez que les choses se stabilisent,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Vous repositionnez vite"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" Attendez que les choses se stabilisent"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q11,QCU_CAT,"Face à une incertitude prolongée, vous :",Multipliez les essais; Réduisez les initiatives,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Multipliez les essais"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" Réduisez les initiatives"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q12,QCU_CAT,"Si un objectif devient inaccessible, vous :",Fixez un nouvel objectif; Tentez encore de l'atteindre,R;K,,"{""mode"":""QCU_CAT"",""options"":[{""libelle"": ""Fixez un nouvel objectif"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": "" Tentez encore de l""atteindre"", ""profil"": ""K"", ""valeur"": 1}]}"
RS01-Q13,LIKERT_5,Je me remets rapidement d'une déception professionnelle.,1;2;3;4;5,R,,"{""mode"":""LIKERT_5"",""options"":[{""libelle"": ""1"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""R"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""R"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""R"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""R"", ""valeur"": 5}]}"
RS01-Q14,LIKERT_5,Je suis à l'aise pour improviser quand le plan échoue.,1;2;3;4;5,R,,"{""mode"":""LIKERT_5"",""options"":[{""libelle"": ""1"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""R"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""R"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""R"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""R"", ""valeur"": 5}]}"
RS01-Q15,LIKERT_5,J'ai besoin de temps pour accepter un changement majeur.,1;2;3;4;5,K,,"{""mode"":""LIKERT_5"",""options"":[{""libelle"": ""1"", ""profil"": ""K"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""K"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""K"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""K"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""K"", ""valeur"": 5}]}"
RS01-Q16,LIKERT_5,Je peux travailler efficacement même sous forte pression.,1;2;3;4;5,R,,"{""mode"":""LIKERT_5"",""options"":[{""libelle"": ""1"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""R"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""R"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""R"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""R"", ""valeur"": 5}]}"
RS01-Q17,LIKERT_5,Je préfère éviter les risques après un échec.,1;2;3;4;5,K,,"{""mode"":""LIKERT_5"",""options"":[{""libelle"": ""1"", ""profil"": ""K"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""K"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""K"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""K"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""K"", ""valeur"": 5}]}"
RS01-Q18,LIKERT_5,Je sais trouver des solutions innovantes en situation de crise.,1;2;3;4;5,R,,"{""mode"":""LIKERT_5"",""options"":[{""libelle"": ""1"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""R"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""R"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""R"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""R"", ""valeur"": 5}]}"
RS01-Q19,LIKERT_5,Je préfère attendre avant d'agir dans un contexte incertain.,1;2;3;4;5,K,,"{""mode"":""LIKERT_5"",""options"":[{""libelle"": ""1"", ""profil"": ""K"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""K"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""K"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""K"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""K"", ""valeur"": 5}]}"
RS01-Q20,LIKERT_5,Je peux garder mon calme dans des situations tendues.,1;2;3;4;5,R,,"{""mode"":""LIKERT_5"",""options"":[{""libelle"": ""1"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""R"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""R"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""R"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""R"", ""valeur"": 5}]}"
RS01-Q21,LIKERT_5,J'ai du mal à repartir après un échec important.,1;2;3;4;5,K,,"{""mode"":""LIKERT_5"",""options"":[{""libelle"": ""1"", ""profil"": ""K"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""K"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""K"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""K"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""K"", ""valeur"": 5}]}"
RS01-Q22,LIKERT_5,Je sais motiver les autres même en période difficile.,1;2;3;4;5,R,,"{""mode"":""LIKERT_5"",""options"":[{""libelle"": ""1"", ""profil"": ""R"", ""valeur"": 1}, {""libelle"": ""2"", ""profil"": ""R"", ""valeur"": 2}, {""libelle"": ""3"", ""profil"": ""R"", ""valeur"": 3}, {""libelle"": ""4"", ""profil"": ""R"", ""valeur"": 4}, {""libelle"": ""5"", ""profil"": ""R"", ""valeur"": 5}]}"
